user_id,cohort_month,city,treatment_city,post_launch,did,age,income,prior_orders_90d,prior_spend_90d,app_sessions_30d,days_since_last_purchase,premium_member,mobile_app_user,marketing_emails_30d,discount_received,retained_30d,spend_30d
47,2025-10-01,Boston,1,1,1,31,80801,1,79.91,11,45,0,0,3,0,0,89.09
48,2025-12-01,Boston,1,1,1,35,54973,3,197.86,12,21,1,0,2,0,0,26.4
49,2025-06-01,Phoenix,0,0,0,49,93934,1,167.5,3,9,0,1,4,0,1,44.96
50,2025-09-01,Dallas,0,1,0,52,80948,5,301.87,17,18,0,0,1,0,0,98.75
51,2025-03-01,Chicago,0,0,0,23,58767,5,227.33,15,0,0,1,7,1,1,148.11
52,2025-10-01,Austin,1,1,1,32,116520,5,326.97,14,2,0,0,4,0,0,53.65
53,2025-08-01,Austin,1,1,1,52,94118,2,252.82,11,4,0,0,4,0,1,98.62
54,2025-01-01,Austin,1,0,0,26,39383,3,267.43,10,14,0,1,3,0,0,91.26
55,2025-05-01,Chicago,0,0,0,51,91297,3,132.33,11,13,0,1,4,1,0,85.59
56,2025-05-01,Dallas,0,0,0,32,71330,4,297.08,13,3,0,1,5,1,1,129.53
57,2025-06-01,Austin,1,0,0,43,68528,4,179.57,13,14,0,1,3,0,0,104.11
58,2025-10-01,Dallas,0,1,0,34,112510,5,300.38,10,9,0,0,7,0,0,45.47
59,2025-06-01,Chicago,0,0,0,29,61316,6,286.99,14,35,1,1,5,1,0,153.97
60,2025-10-01,Chicago,0,1,0,36,128261,4,270.59,13,6,1,0,5,0,1,136.64
61,2025-07-01,Boston,1,1,1,20,75606,2,110.41,11,2,0,1,4,0,0,87.82
62,2025-10-01,Austin,1,1,1,40,65163,4,173.77,13,32,0,1,6,0,0,54.44
63,2025-01-01,Dallas,0,0,0,33,74835,2,196.63,13,9,0,0,0,0,1,105.45
64,2025-07-01,Seattle,1,1,1,23,64089,6,298.35,16,6,0,1,4,0,0,110.04
65,2025-06-01,Denver,0,0,0,33,92962,4,233.68,15,6,0,1,6,1,1,155.16
66,2025-01-01,Dallas,0,0,0,47,85945,2,167.7,4,2,1,1,5,0,0,52.19
67,2025-02-01,Dallas,0,0,0,24,82429,1,113.68,7,1,0,1,8,1,0,55.43
68,2025-03-01,Chicago,0,0,0,22,26950,3,190.41,14,13,0,1,6,0,1,47.22
69,2025-05-01,Denver,0,0,0,22,70997,3,172.51,9,10,0,0,4,1,1,53.09
70,2025-01-01,Denver,0,0,0,34,53164,3,203.08,5,56,1,1,5,0,1,134.62
71,2025-08-01,Phoenix,0,1,0,43,53080,2,206.87,13,13,0,0,8,0,1,72.86
72,2025-09-01,Denver,0,1,0,23,22841,4,272.63,13,30,1,0,8,0,1,125.89
73,2025-12-01,Dallas,0,1,0,37,55716,5,309.45,11,21,1,1,3,0,0,166.04
74,2025-04-01,Boston,1,0,0,31,50736,4,229.12,15,0,1,1,5,0,0,65.24
75,2025-10-01,Chicago,0,1,0,25,20000,5,364.99,7,11,0,1,8,0,0,68.68
76,2025-12-01,Chicago,0,1,0,40,95882,3,181.99,5,16,1,0,6,1,0,36.34
77,2025-10-01,Boston,1,1,1,21,80716,2,198.45,7,37,1,1,4,1,1,93.79
78,2025-08-01,Boston,1,1,1,43,91452,2,235.96,17,1,0,1,5,1,1,150.67
79,2025-04-01,Chicago,0,0,0,18,94101,2,204.82,7,71,0,1,6,0,0,61.18
80,2025-09-01,New York,1,1,1,36,100715,3,235.59,11,11,0,1,7,0,0,67.82
81,2025-03-01,New York,1,0,0,27,52020,2,103.23,14,10,1,0,1,0,1,116.37
82,2025-10-01,Boston,1,1,1,24,71865,5,185.15,16,18,1,1,8,1,1,167.02
83,2025-07-01,Boston,1,1,1,24,82589,2,201.49,12,3,1,1,1,0,1,138.03
84,2025-04-01,Boston,1,0,0,25,86911,5,285.08,11,31,0,1,4,0,0,115.65
85,2025-11-01,New York,1,1,1,46,110032,5,224.26,15,3,1,1,6,0,1,185.69
86,2025-04-01,Dallas,0,0,0,41,88686,5,192.71,18,8,1,1,4,1,1,95.08
87,2025-03-01,Seattle,1,0,0,41,87384,0,173.32,6,0,0,1,4,1,1,80.83
88,2025-06-01,Boston,1,0,0,32,67779,1,159.2,9,13,0,1,9,0,0,80.05
89,2025-12-01,Dallas,0,1,0,55,67602,5,250.45,13,2,0,0,4,0,0,42.0
90,2025-01-01,Dallas,0,0,0,44,57561,4,272.79,7,12,1,1,5,0,1,119.2
91,2025-12-01,Chicago,0,1,0,22,97730,4,308.64,9,29,0,1,8,1,1,139.38
92,2025-02-01,Dallas,0,0,0,30,64066,8,388.83,22,4,0,0,4,0,1,124.78
93,2025-12-01,Dallas,0,1,0,28,38784,3,208.65,10,12,0,1,4,0,0,65.13
94,2025-11-01,Denver,0,1,0,18,51853,3,223.42,13,11,0,1,3,0,0,74.0
95,2025-06-01,New York,1,0,0,31,111966,2,184.39,9,7,0,1,6,0,0,64.72
96,2025-12-01,Dallas,0,1,0,40,59282,4,228.69,15,6,0,0,6,0,1,126.12
97,2025-12-01,Dallas,0,1,0,27,73891,2,135.44,13,6,0,1,8,0,1,104.72
98,2025-03-01,Denver,0,0,0,32,68218,4,251.88,12,46,0,1,5,1,0,106.09
99,2025-09-01,Phoenix,0,1,0,32,63088,1,183.0,7,6,0,1,2,0,1,108.15
100,2025-08-01,New York,1,1,1,32,31554,3,208.25,9,5,0,1,3,0,1,147.69
101,2025-06-01,Boston,1,0,0,39,50765,6,283.98,11,2,1,0,6,0,0,75.15
102,2025-10-01,Chicago,0,1,0,40,111901,5,306.09,18,42,1,1,4,0,0,74.68
103,2025-08-01,Boston,1,1,1,25,82261,2,150.5,8,18,1,1,5,1,1,128.16
104,2025-09-01,Denver,0,1,0,36,38847,5,333.89,20,24,1,1,4,1,0,125.9
105,2025-10-01,Dallas,0,1,0,24,74533,6,278.45,20,23,1,1,5,1,0,144.88
106,2025-11-01,New York,1,1,1,18,38161,2,264.64,7,15,0,1,7,0,0,48.42
107,2025-09-01,Chicago,0,1,0,35,87893,1,205.95,15,42,0,1,5,1,1,146.32
108,2025-05-01,New York,1,0,0,18,71608,0,18.66,15,95,0,1,6,0,0,25.02
109,2025-03-01,New York,1,0,0,28,57685,0,70.65,17,14,1,1,5,0,1,138.92
110,2025-10-01,Chicago,0,1,0,68,35414,2,87.72,9,9,1,0,5,1,0,64.44
111,2025-09-01,Phoenix,0,1,0,35,86610,4,306.76,19,9,1,1,4,1,1,136.74
112,2025-11-01,Boston,1,1,1,18,76973,6,336.57,11,0,0,0,0,0,0,119.31
113,2025-09-01,Chicago,0,1,0,23,44854,1,195.76,15,1,0,1,4,0,1,67.28
114,2025-09-01,Austin,1,1,1,35,45517,4,238.71,7,2,0,0,2,0,0,67.54
115,2025-04-01,Austin,1,0,0,41,100528,3,78.9,16,27,0,0,6,0,0,62.6
116,2025-11-01,Chicago,0,1,0,23,70794,7,423.05,15,6,1,0,4,0,1,139.98
117,2025-11-01,Chicago,0,1,0,40,68566,4,245.25,14,4,0,0,10,0,1,96.64
118,2025-06-01,New York,1,0,0,37,72968,3,177.17,12,24,0,1,5,0,1,112.92
119,2025-04-01,Seattle,1,0,0,35,50102,4,311.39,12,0,0,1,4,1,1,170.09
120,2025-09-01,Dallas,0,1,0,35,59477,4,305.47,15,19,0,0,7,1,0,109.48
121,2025-09-01,Seattle,1,1,1,46,97905,3,166.61,8,16,0,1,7,1,1,81.06
122,2025-10-01,Dallas,0,1,0,20,63509,5,269.78,18,32,0,1,6,0,0,117.07
123,2025-06-01,Seattle,1,0,0,43,46837,0,164.24,9,46,0,1,5,1,1,90.03
124,2025-10-01,Dallas,0,1,0,19,52486,3,196.52,11,38,0,1,1,0,0,92.83
125,2025-04-01,Denver,0,0,0,29,64622,1,213.55,4,39,0,1,4,0,0,73.96
126,2025-06-01,Seattle,1,0,0,44,124211,4,260.03,11,17,0,1,3,1,0,48.57
127,2025-10-01,Chicago,0,1,0,32,76418,2,347.25,11,5,0,0,8,1,1,74.2
128,2025-11-01,Seattle,1,1,1,32,54545,3,208.46,5,1,0,0,5,0,0,92.52
129,2025-04-01,Dallas,0,0,0,51,64928,2,229.09,10,29,1,1,7,1,1,99.56
130,2025-11-01,Chicago,0,1,0,29,60012,9,543.56,14,6,0,1,4,1,1,160.55
131,2025-07-01,New York,1,1,1,45,86919,2,200.31,8,3,0,1,7,1,1,133.83
132,2025-08-01,Austin,1,1,1,37,32879,0,45.88,10,120,0,0,4,0,0,74.12
133,2025-11-01,Austin,1,1,1,46,57060,3,305.09,12,17,1,1,8,1,1,161.74
134,2025-11-01,Chicago,0,1,0,18,38055,7,377.12,7,65,0,1,4,0,0,115.31
135,2025-02-01,Dallas,0,0,0,49,93349,6,230.72,20,16,0,1,2,0,1,149.47
136,2025-11-01,Phoenix,0,1,0,38,63472,3,242.32,11,1,0,1,6,0,0,68.87
137,2025-02-01,Austin,1,0,0,29,64878,1,151.29,7,20,0,1,4,0,0,62.99
138,2025-11-01,Denver,0,1,0,47,79054,2,210.99,8,1,0,1,4,0,1,78.9
139,2025-01-01,Phoenix,0,0,0,29,92147,5,397.16,13,32,0,0,4,0,1,118.13
140,2025-06-01,Chicago,0,0,0,53,112648,3,313.62,7,3,0,1,6,0,1,82.81
141,2025-11-01,Seattle,1,1,1,46,50075,3,233.12,11,25,0,1,2,0,1,80.29
142,2025-01-01,Chicago,0,0,0,24,52411,6,374.53,15,12,0,0,5,0,0,107.97
143,2025-09-01,Denver,0,1,0,49,67559,2,143.36,8,26,1,1,4,0,1,139.33
144,2025-10-01,Boston,1,1,1,40,118215,2,282.03,7,0,1,1,9,0,0,90.45
145,2025-10-01,Austin,1,1,1,43,97959,4,161.63,10,49,0,1,2,0,1,120.19
146,2025-07-01,Phoenix,0,1,0,33,84121,3,274.48,14,1,0,1,8,0,0,87.4
147,2025-05-01,New York,1,0,0,46,65528,2,186.24,8,10,0,1,11,0,1,57.73
148,2025-05-01,Chicago,0,0,0,26,65791,5,273.18,16,5,0,0,2,0,0,86.93
149,2025-12-01,Boston,1,1,1,18,75149,4,244.8,8,14,0,0,4,0,1,125.67
150,2025-01-01,Chicago,0,0,0,25,55509,0,88.0,11,12,1,1,5,0,0,66.64
151,2025-11-01,Denver,0,1,0,33,85247,4,287.97,8,13,0,1,5,0,0,31.14
152,2025-09-01,Chicago,0,1,0,28,65418,1,125.68,6,26,0,1,5,0,1,129.73
153,2025-01-01,Seattle,1,0,0,23,101829,1,171.25,10,3,0,0,6,1,1,101.55
154,2025-10-01,Dallas,0,1,0,44,57839,1,120.25,7,47,0,1,2,1,1,96.38
155,2025-10-01,Seattle,1,1,1,18,109373,4,245.5,12,9,1,0,4,0,1,159.5
156,2025-05-01,Austin,1,0,0,18,62629,3,304.72,14,2,0,1,3,0,1,119.83
157,2025-11-01,Chicago,0,1,0,20,91400,4,305.68,16,3,1,1,4,1,0,70.35
158,2025-03-01,Dallas,0,0,0,44,77593,3,114.84,12,4,1,1,3,1,0,71.39
159,2025-11-01,Boston,1,1,1,40,53893,2,244.02,8,16,0,1,6,0,1,125.28
160,2025-05-01,New York,1,0,0,22,87227,2,94.34,6,17,1,0,10,0,0,111.34
161,2025-05-01,Dallas,0,0,0,18,98468,3,238.74,14,20,1,1,0,0,0,38.55
162,2025-05-01,Austin,1,0,0,46,115370,0,65.72,8,9,1,0,1,1,0,88.32
163,2025-06-01,Seattle,1,0,0,35,95108,4,233.82,7,31,1,1,1,1,0,38.8
164,2025-10-01,Denver,0,1,0,18,65563,5,247.65,14,29,0,0,5,1,0,89.64
165,2025-04-01,Phoenix,0,0,0,46,139108,2,230.36,10,0,0,0,5,1,0,87.06
166,2025-06-01,Austin,1,0,0,44,90726,7,370.76,22,6,0,1,6,0,0,107.74
167,2025-01-01,Austin,1,0,0,37,71240,0,210.8,7,5,0,1,4,0,1,125.04
168,2025-01-01,Austin,1,0,0,32,61811,1,103.67,11,11,0,1,5,1,0,31.3
169,2025-07-01,New York,1,1,1,24,31529,5,326.71,11,0,0,1,2,0,1,170.03
170,2025-11-01,Denver,0,1,0,50,65473,4,261.57,5,49,0,1,1,1,0,37.63
171,2025-12-01,Phoenix,0,1,0,33,63628,0,146.05,6,2,1,1,7,0,0,71.68
172,2025-07-01,Phoenix,0,1,0,36,72206,2,31.05,8,10,0,0,5,1,1,135.79
173,2025-02-01,Boston,1,0,0,43,41876,1,223.85,7,59,0,1,2,0,0,32.79
174,2025-02-01,Chicago,0,0,0,45,55363,4,266.74,14,17,1,1,1,1,0,100.14
175,2025-11-01,Austin,1,1,1,37,20000,1,121.96,7,23,0,1,3,1,1,163.94
176,2025-11-01,Phoenix,0,1,0,21,53751,2,157.8,10,21,0,0,3,0,0,68.9
177,2025-05-01,Dallas,0,0,0,35,62766,2,177.89,5,1,0,1,1,1,0,73.0
178,2025-03-01,Phoenix,0,0,0,33,73245,0,133.74,10,6,0,1,3,0,0,69.86
179,2025-02-01,Austin,1,0,0,26,32922,1,235.22,12,38,0,1,4,0,1,125.56
180,2025-12-01,New York,1,1,1,41,91645,2,192.04,16,27,1,1,6,0,1,134.78
181,2025-11-01,New York,1,1,1,46,91102,2,225.79,15,25,1,0,4,0,1,108.14
182,2025-02-01,Phoenix,0,0,0,43,57325,5,314.89,15,12,0,1,4,1,0,92.54
183,2025-07-01,Phoenix,0,1,0,41,86760,3,286.77,13,37,0,1,7,1,0,94.81
184,2025-01-01,Denver,0,0,0,46,68207,4,201.3,7,39,0,0,6,0,0,102.17
185,2025-04-01,Dallas,0,0,0,38,72986,2,26.66,14,12,0,0,4,0,1,119.56
186,2025-05-01,Seattle,1,0,0,38,98744,2,195.06,8,98,0,0,2,0,0,92.28
187,2025-11-01,Boston,1,1,1,26,85031,1,174.3,8,93,0,1,2,1,0,71.2
188,2025-11-01,Chicago,0,1,0,35,123051,2,177.25,7,87,1,1,2,0,0,114.61
189,2025-06-01,Seattle,1,0,0,44,59560,0,56.17,5,8,1,0,4,0,0,33.25
190,2025-07-01,Dallas,0,1,0,38,58236,2,219.1,10,55,0,0,2,0,1,84.3
191,2025-11-01,New York,1,1,1,34,78073,7,440.26,17,19,0,1,4,0,0,103.98
192,2025-04-01,Boston,1,0,0,30,42399,3,222.31,14,17,0,1,7,0,0,71.56
193,2025-10-01,Denver,0,1,0,46,81494,2,143.12,11,21,0,0,4,1,0,31.38
194,2025-12-01,Denver,0,1,0,30,68217,3,197.88,6,0,0,1,6,1,1,98.27
195,2025-01-01,Chicago,0,0,0,29,61273,4,317.0,4,11,0,0,8,1,1,124.08
196,2025-03-01,Denver,0,0,0,45,66524,7,357.53,17,24,0,1,4,1,0,90.77
197,2025-03-01,Denver,0,0,0,33,85707,4,197.85,9,0,1,1,9,0,1,134.34
198,2025-04-01,Dallas,0,0,0,30,52685,5,327.26,9,3,0,1,3,0,0,93.7
199,2025-10-01,Phoenix,0,1,0,26,119261,5,258.51,11,14,0,1,9,0,0,92.08
200,2025-10-01,Phoenix,0,1,0,36,20000,2,182.39,11,5,0,1,5,0,0,38.35
201,2025-10-01,Denver,0,1,0,35,59394,1,83.97,9,31,0,0,8,0,0,74.42
202,2025-03-01,Austin,1,0,0,30,94664,4,271.16,12,13,1,1,3,0,0,119.51
203,2025-08-01,Boston,1,1,1,35,40272,1,91.18,8,9,1,1,3,0,1,106.64
204,2025-09-01,Austin,1,1,1,30,52812,4,294.32,12,17,0,1,4,0,0,67.38
205,2025-08-01,Austin,1,1,1,30,73241,0,198.67,11,50,0,1,6,0,0,47.39
206,2025-06-01,Austin,1,0,0,46,59671,4,328.76,11,10,1,1,3,0,0,73.57
207,2025-08-01,Seattle,1,1,1,43,77190,3,180.89,11,21,0,1,10,0,1,163.41
208,2025-01-01,Dallas,0,0,0,26,71136,3,238.39,11,11,1,1,3,0,0,116.56
209,2025-05-01,Austin,1,0,0,38,67629,3,219.07,4,22,0,1,1,1,0,97.39
210,2025-04-01,Denver,0,0,0,20,120359,0,143.75,14,15,0,1,4,0,0,49.59
211,2025-07-01,Dallas,0,1,0,33,99270,3,256.43,17,15,0,0,4,0,1,134.76
212,2025-11-01,Dallas,0,1,0,38,64302,1,123.94,6,40,0,1,2,1,0,49.54
213,2025-01-01,Austin,1,0,0,39,53632,1,126.52,11,5,0,1,6,1,0,45.26
214,2025-06-01,Dallas,0,0,0,28,63188,1,138.64,6,27,0,1,2,1,0,63.08
215,2025-07-01,Denver,0,1,0,33,65770,5,318.66,15,1,0,1,4,1,1,129.71
216,2025-11-01,Boston,1,1,1,22,72723,4,206.76,9,1,1,1,6,0,0,137.0
217,2025-11-01,Dallas,0,1,0,28,94513,5,340.28,9,15,0,1,6,0,0,87.99
218,2025-06-01,New York,1,0,0,34,38397,2,214.25,14,18,0,1,2,0,0,76.9
219,2025-10-01,New York,1,1,1,31,67048,4,252.02,13,17,0,1,7,1,0,112.23
220,2025-03-01,New York,1,0,0,20,20000,4,232.22,10,1,0,0,6,0,0,32.19
221,2025-10-01,Chicago,0,1,0,32,56131,4,238.95,10,19,0,1,3,0,1,64.54
222,2025-08-01,Denver,0,1,0,33,81270,4,249.19,11,7,0,1,3,0,0,88.31
223,2025-10-01,Boston,1,1,1,42,95069,4,264.34,7,114,0,1,10,0,1,103.37
224,2025-01-01,Seattle,1,0,0,34,51530,3,289.05,13,54,0,1,3,1,1,131.84
225,2025-06-01,Phoenix,0,0,0,29,75337,1,114.6,10,74,1,1,6,0,0,52.99
226,2025-02-01,Austin,1,0,0,24,86615,2,158.21,11,12,0,1,5,0,0,84.66
227,2025-06-01,New York,1,0,0,26,54789,1,180.37,4,11,0,1,4,1,0,0.0
228,2025-07-01,Chicago,0,1,0,25,76047,5,272.65,11,28,0,1,6,0,1,143.31
229,2025-04-01,New York,1,0,0,27,50914,5,264.6,7,30,0,1,7,0,0,61.77
230,2025-12-01,Phoenix,0,1,0,27,91107,2,200.03,9,12,0,1,2,1,0,65.96
231,2025-10-01,Austin,1,1,1,24,92907,3,144.69,10,3,0,0,5,1,1,141.58
232,2025-10-01,Phoenix,0,1,0,44,20000,3,203.22,7,10,0,1,4,1,0,87.86
233,2025-07-01,New York,1,1,1,18,81162,1,202.66,10,47,0,1,3,1,1,148.67
234,2025-06-01,Seattle,1,0,0,30,69978,5,284.28,24,9,0,1,2,0,1,81.84
235,2025-03-01,New York,1,0,0,29,75002,3,161.66,15,70,0,0,1,0,1,130.64
236,2025-07-01,Dallas,0,1,0,33,73850,1,169.27,9,15,0,0,6,0,0,28.53
237,2025-05-01,Chicago,0,0,0,37,68683,4,216.6,10,13,1,1,5,0,0,109.57
238,2025-05-01,Austin,1,0,0,40,82044,4,266.87,6,1,0,1,5,1,1,130.52
239,2025-07-01,New York,1,1,1,28,69534,2,259.26,11,3,0,1,7,0,0,65.18
240,2025-06-01,Phoenix,0,0,0,18,82466,3,171.93,11,0,0,1,6,0,1,98.99
241,2025-09-01,New York,1,1,1,48,61514,2,168.69,14,23,0,0,3,0,1,116.37
242,2025-11-01,Dallas,0,1,0,40,67028,5,272.3,8,120,1,0,3,0,1,141.63
243,2025-11-01,New York,1,1,1,32,49952,5,312.76,9,12,0,0,3,0,0,94.82
244,2025-10-01,Chicago,0,1,0,27,82388,2,148.78,7,9,1,1,2,0,1,88.24
245,2025-06-01,New York,1,0,0,59,100438,1,207.12,6,2,0,1,7,0,1,53.92
246,2025-05-01,Denver,0,0,0,36,87899,2,129.22,6,7,1,0,3,1,1,77.82
247,2025-07-01,Austin,1,1,1,25,65137,4,309.63,12,8,1,1,9,1,0,112.95
248,2025-09-01,Austin,1,1,1,21,68418,1,220.79,11,6,0,1,5,0,1,51.22
249,2025-08-01,Austin,1,1,1,34,107255,1,87.8,10,21,0,1,3,0,0,56.66
250,2025-08-01,Austin,1,1,1,46,30239,5,311.39,11,20,0,1,4,1,0,65.32
251,2025-01-01,Boston,1,0,0,33,78094,2,176.26,12,20,0,0,7,0,1,70.95
252,2025-10-01,Dallas,0,1,0,18,123054,2,94.36,10,15,0,1,7,1,1,104.74
253,2025-10-01,Phoenix,0,1,0,36,94537,1,139.57,11,7,0,0,4,1,0,8.66
254,2025-06-01,Dallas,0,0,0,41,72486,0,176.4,9,5,0,1,11,0,0,33.26
255,2025-06-01,Dallas,0,0,0,34,61397,3,297.28,9,3,0,1,2,1,1,122.56
256,2025-03-01,New York,1,0,0,26,73701,9,370.58,18,17,0,1,7,0,1,162.03
257,2025-04-01,Chicago,0,0,0,31,70259,2,186.97,12,27,1,0,6,0,1,93.26
258,2025-07-01,Phoenix,0,1,0,44,61813,3,217.54,11,3,1,0,3,0,0,71.72
259,2025-11-01,Austin,1,1,1,36,20133,1,202.68,7,3,0,1,4,0,1,130.34
260,2025-08-01,Chicago,0,1,0,26,37141,4,204.92,12,3,1,1,5,0,0,136.28
261,2025-08-01,Boston,1,1,1,57,92680,3,231.43,17,36,1,1,1,1,1,119.04
262,2025-10-01,Chicago,0,1,0,27,47631,6,405.23,13,14,1,0,3,0,1,126.11
263,2025-03-01,Denver,0,0,0,50,92662,1,208.91,9,1,1,1,5,1,0,51.28
264,2025-01-01,Boston,1,0,0,42,80574,0,135.82,7,13,0,1,6,0,0,73.56
265,2025-03-01,New York,1,0,0,46,32032,2,255.47,13,5,0,1,3,0,0,51.73
266,2025-07-01,Phoenix,0,1,0,58,51147,3,308.98,15,0,0,1,5,0,1,121.17
267,2025-12-01,Boston,1,1,1,43,81607,6,484.17,10,44,0,1,6,0,0,114.47
268,2025-05-01,Austin,1,0,0,37,94873,2,170.23,9,12,0,0,9,0,1,137.87
269,2025-11-01,Phoenix,0,1,0,52,100990,7,428.09,15,13,1,1,6,0,1,176.23
270,2025-05-01,Boston,1,0,0,41,60659,3,173.16,13,15,0,1,6,1,0,66.98
271,2025-01-01,Denver,0,0,0,42,112345,2,113.25,7,22,0,1,4,0,0,43.85
272,2025-02-01,Phoenix,0,0,0,33,38594,1,224.52,6,11,1,0,2,1,0,69.91
273,2025-03-01,Boston,1,0,0,37,96500,4,307.4,6,47,0,1,6,1,1,119.99
274,2025-09-01,Seattle,1,1,1,19,52113,4,255.29,11,6,0,1,0,0,1,113.86
275,2025-11-01,Phoenix,0,1,0,37,66977,1,173.03,13,1,0,1,4,0,1,116.61
276,2025-04-01,Dallas,0,0,0,25,105087,3,194.66,9,3,1,1,6,1,0,120.42
277,2025-03-01,Denver,0,0,0,22,92044,0,141.86,4,40,0,0,4,1,0,12.55
278,2025-04-01,Phoenix,0,0,0,41,38500,5,331.05,13,48,0,1,6,0,0,44.3
279,2025-01-01,Phoenix,0,0,0,55,28383,2,159.85,11,7,0,1,2,0,1,61.17
280,2025-10-01,Chicago,0,1,0,32,72632,2,230.25,8,93,0,0,2,0,1,158.57
281,2025-06-01,Denver,0,0,0,32,22655,5,242.64,16,7,0,1,5,1,0,101.03
282,2025-02-01,Boston,1,0,0,33,76345,3,261.73,12,2,1,1,7,1,1,145.95
283,2025-05-01,Denver,0,0,0,30,85571,4,223.55,13,22,0,0,5,1,0,112.2
284,2025-12-01,New York,1,1,1,28,123462,3,215.68,11,3,0,1,7,0,1,72.4
